0,0,0,1,0,0,43,87,87,43,0,0,1,0,0,0
0,0,1,1,9,116,137,106,106,137,116,9,1,1,0,0
0,0,2,5,122,95,35,38,38,35,95,122,5,2,0,0
0,2,0,76,96,35,56,70,70,56,33,96,76,0,2,0
0,0,11,106,45,46,66,78,78,65,54,45,106,11,0,0
2,0,47,87,33,3,50,80,77,67,39,44,85,48,0,2
2,0,65,71,31,0,10,74,83,28,3,48,68,66,0,2
2,0,73,64,37,0,0,38,60,0,11,50,61,73,0,2
2,0,72,61,47,7,1,23,44,0,26,52,60,72,0,2
2,0,57,63,52,26,0,17,34,2,47,49,64,57,0,2
2,0,39,73,46,51,9,16,48,41,54,45,73,39,0,2
0,0,9,78,47,53,49,47,52,53,52,47,78,9,0,0
0,2,0,53,71,43,54,58,56,52,44,71,53,0,2,0
0,0,1,5,79,65,43,50,50,43,65,79,5,1,0,0
0,0,1,0,9,74,82,66,66,82,74,9,0,1,0,0
0,0,0,1,0,0,33,55,55,33,0,0,1,0,0,0
